                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.2687,                 1.3398,                 0.9935,                0.30117,                0.48824,                0.25956,                0.25707,                 0.1208,                 1.1009,                0.72661,              0.0033324,              0.0033324,              0.0033324
                      2,                0.29719,                 1.1815,                0.98577,                0.68718,                0.36445,                0.27222,                0.26872,                0.11623,                 1.0819,                0.72463,              0.0065998,              0.0065998,              0.0065998
                      3,                0.31281,                 1.2022,                0.99314,                0.54727,                0.46764,                0.26027,                0.25727,                0.12218,                 1.1104,                0.72943,              0.0098011,              0.0098011,              0.0098011
                      4,                0.28981,                 1.1955,                0.98251,                0.56825,                0.42216,                0.27194,                0.26924,                0.10374,                 1.0591,                0.71578,               0.009703,               0.009703,               0.009703
                      5,                0.25703,                 1.1651,                0.96612,                0.58898,                0.39793,                  0.285,                0.28256,                0.09535,                 1.0525,                  0.709,               0.009703,               0.009703,               0.009703
                      6,                0.23928,                 1.1491,                0.95835,                0.33073,                0.47448,                0.29847,                0.29584,                0.09275,                 1.0191,                0.70884,               0.009604,               0.009604,               0.009604
                      7,                0.23132,                 1.1347,                0.95433,                0.58151,                0.44134,                0.30608,                0.30338,                0.08815,                 1.0084,                0.70452,               0.009505,               0.009505,               0.009505
                      8,                0.22311,                 1.1253,                0.95063,                0.62879,                0.39547,                0.31381,                0.31141,                0.08616,                 1.0029,                  0.701,               0.009406,               0.009406,               0.009406
                      9,                0.21595,                 1.1117,                0.94526,                0.62197,                0.40895,                0.32376,                0.32111,                 0.0857,                0.98413,                0.70121,               0.009307,               0.009307,               0.009307
                     10,                0.21314,                 1.1051,                0.94462,                0.48754,                0.41329,                0.32057,                0.31791,                0.08402,                0.98511,                0.69989,               0.009208,               0.009208,               0.009208
                     11,                0.21163,                 1.1043,                0.94354,                0.62996,                0.39051,                0.33317,                0.33052,                0.08321,                0.97648,                0.69879,               0.009109,               0.009109,               0.009109
                     12,                0.20596,                 1.0959,                0.94155,                0.63558,                0.40002,                 0.3306,                0.32814,                0.08272,                0.97299,                0.69881,                0.00901,                0.00901,                0.00901
                     13,                0.20313,                 1.0893,                0.93969,                0.61943,                0.41812,                0.33508,                0.33247,                0.08184,                0.96864,                0.69627,               0.008911,               0.008911,               0.008911
                     14,                0.20086,                 1.0872,                0.93788,                0.62242,                0.43123,                0.33915,                0.33659,                 0.0809,                0.96921,                0.69602,               0.008812,               0.008812,               0.008812
                     15,                0.19933,                 1.0836,                0.93796,                 0.6268,                0.40754,                 0.3381,                0.33545,                0.07973,                0.96504,                0.69567,               0.008713,               0.008713,               0.008713
                     16,                0.19866,                 1.0791,                 0.9366,                0.63656,                0.40249,                0.34102,                0.33826,                 0.0798,                0.96219,                0.69578,               0.008614,               0.008614,               0.008614
                     17,                0.19721,                 1.0764,                0.93539,                0.63136,                0.41099,                0.34222,                0.33947,                0.07905,                0.96079,                0.69527,               0.008515,               0.008515,               0.008515
                     18,                0.19474,                 1.0696,                0.93472,                0.63166,                0.42036,                0.34434,                0.34168,                0.07879,                0.95967,                0.69482,               0.008416,               0.008416,               0.008416
                     19,                0.19514,                 1.0665,                0.93565,                0.63181,                0.42345,                0.34563,                0.34288,                0.07862,                0.95813,                0.69466,               0.008317,               0.008317,               0.008317
                     20,                0.19153,                  1.062,                0.93287,                0.63236,                0.41706,                0.34638,                0.34368,                0.07866,                0.95657,                0.69462,               0.008218,               0.008218,               0.008218
                     21,                0.19105,                 1.0594,                0.93318,                0.62945,                 0.4158,                0.34821,                0.34553,                0.07852,                0.95464,                0.69449,               0.008119,               0.008119,               0.008119
                     22,                0.19143,                 1.0581,                0.93261,                0.62962,                0.41744,                  0.349,                0.34631,                0.07833,                0.95352,                0.69435,                0.00802,                0.00802,                0.00802
                     23,                0.18976,                 1.0567,                0.93235,                0.63698,                 0.4087,                0.35046,                0.34768,                0.07816,                0.95236,                0.69428,               0.007921,               0.007921,               0.007921
                     24,                0.18826,                  1.054,                0.93191,                0.63808,                0.41045,                0.35101,                0.34826,                0.07801,                0.95067,                0.69417,               0.007822,               0.007822,               0.007822
                     25,                0.18754,                 1.0492,                0.93126,                 0.6388,                0.41314,                0.35245,                0.34968,                0.07774,                0.94881,                0.69391,               0.007723,               0.007723,               0.007723
                     26,                0.18558,                 1.0471,                0.93069,                0.64023,                0.41118,                0.35361,                0.35083,                0.07752,                0.94701,                0.69372,               0.007624,               0.007624,               0.007624
                     27,                0.18662,                 1.0458,                 0.9315,                0.64569,                0.41063,                0.35638,                0.35356,                0.07747,                0.94561,                 0.6937,               0.007525,               0.007525,               0.007525
                     28,                0.18544,                 1.0427,                 0.9305,                0.64465,                0.41433,                0.35793,                0.35514,                0.07726,                0.94419,                0.69345,               0.007426,               0.007426,               0.007426
                     29,                0.18305,                  1.039,                0.92978,                0.65002,                0.40999,                0.35841,                0.35564,                 0.0771,                0.94264,                0.69326,               0.007327,               0.007327,               0.007327
                     30,                 0.1841,                 1.0358,                0.93016,                0.65306,                0.40338,                0.36049,                0.35777,                0.07709,                0.94061,                0.69305,               0.007228,               0.007228,               0.007228
                     31,                0.18265,                 1.0343,                0.92869,                0.65016,                0.40994,                0.36113,                0.35846,                0.07715,                 0.9394,                0.69299,               0.007129,               0.007129,               0.007129
                     32,                0.18263,                 1.0347,                0.92935,                0.64773,                0.41229,                0.36196,                0.35919,                0.07701,                  0.938,                0.69272,                0.00703,                0.00703,                0.00703
                     33,                0.18326,                 1.0311,                0.92867,                 0.6481,                0.41554,                 0.3635,                0.36075,                0.07704,                0.93605,                0.69262,               0.006931,               0.006931,               0.006931
                     34,                 0.1821,                 1.0275,                0.92833,                0.58989,                0.41771,                0.36396,                0.36123,                0.07692,                0.93464,                0.69261,               0.006832,               0.006832,               0.006832
                     35,                0.18084,                 1.0308,                0.92867,                 0.5642,                0.41551,                0.36473,                0.36198,                0.07659,                0.93331,                0.69229,               0.006733,               0.006733,               0.006733
                     36,                0.17885,                 1.0245,                0.92632,                0.38803,                0.51279,                0.36463,                 0.3619,                0.07641,                0.93223,                0.69211,               0.006634,               0.006634,               0.006634
                     37,                0.17907,                 1.0246,                0.92729,                0.39068,                0.51518,                0.36539,                0.36272,                0.07647,                0.93012,                0.69203,               0.006535,               0.006535,               0.006535
                     38,                  0.178,                 1.0221,                 0.9269,                0.39019,                0.51559,                0.36759,                0.36486,                0.07638,                0.92941,                0.69178,               0.006436,               0.006436,               0.006436
                     39,                0.17812,                 1.0168,                0.92669,                0.38957,                0.51927,                0.36859,                0.36586,                0.07629,                0.92813,                0.69162,               0.006337,               0.006337,               0.006337
                     40,                0.17678,                  1.016,                0.92621,                0.38926,                 0.5229,                0.37016,                0.36744,                0.07615,                0.92625,                0.69163,               0.006238,               0.006238,               0.006238
                     41,                0.17801,                  1.013,                0.92682,                0.39422,                0.52509,                0.37168,                0.36895,                0.07605,                0.92426,                0.69158,               0.006139,               0.006139,               0.006139
                     42,                0.17607,                 1.0108,                0.92638,                0.39826,                0.52288,                0.37281,                0.37009,                0.07595,                0.92252,                0.69149,                0.00604,                0.00604,                0.00604
                     43,                 0.1756,                 1.0126,                 0.9259,                0.40225,                0.52257,                0.37406,                0.37135,                0.07582,                0.92101,                0.69133,               0.005941,               0.005941,               0.005941
                     44,                0.17636,                 1.0081,                0.92575,                0.40195,                0.51648,                0.37557,                 0.3728,                0.07552,                0.91967,                0.69099,               0.005842,               0.005842,               0.005842
                     45,                0.17406,                 1.0059,                0.92429,                0.40628,                0.52277,                0.37683,                0.37406,                 0.0754,                0.91836,                0.69077,               0.005743,               0.005743,               0.005743
                     46,                0.17379,                 1.0031,                0.92466,                0.40618,                0.52265,                0.37773,                 0.3749,                 0.0752,                0.91688,                0.69053,               0.005644,               0.005644,               0.005644
                     47,                    inf,                 1.0005,                0.92449,                0.40604,                0.52846,                0.37897,                0.37617,                0.07519,                0.91505,                0.69055,               0.005545,               0.005545,               0.005545
                     48,                0.17228,                0.99879,                0.92471,                0.40344,                0.52782,                0.37938,                0.37654,                 0.0752,                0.91327,                0.69042,               0.005446,               0.005446,               0.005446
                     49,                0.17166,                0.99826,                0.92388,                0.41351,                0.51767,                0.38134,                0.37849,                0.07515,                0.91209,                0.69028,               0.005347,               0.005347,               0.005347
                     50,                0.17237,                0.99841,                0.92377,                0.41069,                0.52436,                0.38204,                0.37929,                0.07488,                0.91094,                0.68999,               0.005248,               0.005248,               0.005248
                     51,                0.17124,                0.99291,                0.92349,                0.41684,                0.52083,                0.38247,                0.37973,                0.07483,                0.90978,                0.68996,               0.005149,               0.005149,               0.005149
                     52,                 0.1713,                0.99392,                0.92437,                0.41538,                 0.5216,                0.38409,                0.38128,                0.07486,                0.90834,                 0.6898,                0.00505,                0.00505,                0.00505
                     53,                0.17002,                0.98696,                0.92232,                0.41899,                0.52068,                0.38556,                0.38285,                0.07478,                0.90644,                0.68969,               0.004951,               0.004951,               0.004951
                     54,                0.16902,                0.98226,                0.92253,                0.41924,                0.51875,                0.38638,                 0.3837,                0.07488,                0.90528,                0.68977,               0.004852,               0.004852,               0.004852
                     55,                0.16844,                  0.979,                0.92219,                0.42013,                0.51892,                0.38689,                0.38418,                0.07477,                0.90444,                0.68957,               0.004753,               0.004753,               0.004753
                     56,                 0.1678,                0.97853,                0.92151,                0.42177,                0.51751,                0.38829,                0.38561,                0.07459,                0.90376,                 0.6894,               0.004654,               0.004654,               0.004654
                     57,                0.16815,                0.97795,                0.92206,                0.42258,                0.51639,                0.38869,                  0.386,                0.07459,                0.90283,                0.68946,               0.004555,               0.004555,               0.004555
                     58,                0.16628,                 0.9732,                0.92161,                0.42357,                0.51516,                0.38951,                0.38689,                0.07454,                0.90182,                0.68921,               0.004456,               0.004456,               0.004456
                     59,                0.16544,                 0.9731,                0.92053,                0.42565,                 0.5111,                0.39036,                0.38772,                0.07438,                0.90081,                0.68894,               0.004357,               0.004357,               0.004357
                     60,                0.16617,                0.96931,                0.92097,                0.42337,                0.51954,                0.39075,                0.38813,                0.07432,                0.89941,                0.68873,               0.004258,               0.004258,               0.004258
                     61,                0.16365,                  0.968,                 0.9201,                0.42132,                0.51874,                0.39164,                0.38903,                0.07427,                0.89884,                0.68861,               0.004159,               0.004159,               0.004159
                     62,                0.16396,                0.96371,                0.92075,                0.42019,                 0.5188,                 0.3927,                0.39011,                0.07426,                0.89791,                0.68846,                0.00406,                0.00406,                0.00406
                     63,                0.16358,                0.96131,                0.92024,                0.42371,                  0.517,                0.39313,                0.39051,                0.07418,                0.89719,                0.68826,               0.003961,               0.003961,               0.003961
                     64,                0.16324,                0.95716,                0.91923,                 0.4257,                0.51593,                0.39418,                0.39159,                0.07425,                0.89641,                0.68827,               0.003862,               0.003862,               0.003862
                     65,                0.16171,                0.94824,                 0.9192,                0.42708,                0.51368,                0.39473,                0.39216,                0.07421,                0.89534,                0.68829,               0.003763,               0.003763,               0.003763
                     66,                0.16013,                0.94869,                0.91873,                 0.4268,                0.51029,                0.39576,                0.39319,                0.07403,                0.89472,                0.68814,               0.003664,               0.003664,               0.003664
                     67,                0.16039,                0.94335,                0.91868,                0.43008,                0.51069,                 0.3962,                0.39365,                0.07395,                0.89442,                0.68808,               0.003565,               0.003565,               0.003565
                     68,                 0.1595,                  0.942,                0.91854,                0.43204,                0.51304,                0.39704,                 0.3945,                0.07374,                0.89375,                0.68796,               0.003466,               0.003466,               0.003466
                     69,                0.15891,                0.93574,                0.91802,                0.43142,                0.51533,                0.39875,                0.39629,                0.07354,                0.89263,                0.68781,               0.003367,               0.003367,               0.003367
                     70,                0.15834,                0.93551,                0.91779,                0.43497,                0.51061,                0.39908,                0.39659,                0.07352,                0.89269,                0.68771,               0.003268,               0.003268,               0.003268
                     71,                0.15747,                0.93191,                0.91759,                0.43864,                  0.506,                0.39977,                0.39731,                0.07327,                0.89183,                0.68731,               0.003169,               0.003169,               0.003169
                     72,                 0.1563,                0.92528,                0.91645,                0.43961,                0.51053,                0.40037,                0.39791,                0.07315,                0.89185,                0.68715,                0.00307,                0.00307,                0.00307
                     73,                 0.1552,                0.92005,                0.91607,                0.44247,                0.50817,                0.40057,                0.39815,                0.07307,                0.89211,                0.68701,               0.002971,               0.002971,               0.002971
                     74,                 0.1554,                0.91483,                0.91645,                0.44842,                0.50861,                0.40182,                0.39939,                0.07293,                0.89203,                0.68676,               0.002872,               0.002872,               0.002872
                     75,                    inf,                0.91054,                0.91627,                 0.4465,                0.51036,                0.40368,                0.40123,                0.07281,                0.89204,                0.68653,               0.002773,               0.002773,               0.002773
                     76,                0.15391,                0.90978,                0.91501,                0.45003,                0.50482,                0.40405,                0.40162,                0.07269,                0.89235,                0.68618,               0.002674,               0.002674,               0.002674
                     77,                    inf,                0.90095,                0.91549,                0.44818,                0.50585,                 0.4051,                0.40267,                0.07255,                 0.8924,                0.68599,               0.002575,               0.002575,               0.002575
                     78,                0.15208,                0.89014,                0.91468,                0.44936,                0.50641,                0.40532,                0.40288,                0.07253,                 0.8928,                0.68589,               0.002476,               0.002476,               0.002476
                     79,                0.15169,                0.88651,                0.91452,                0.44866,                0.50689,                0.40864,                0.40618,                0.07251,                0.89409,                0.68577,               0.002377,               0.002377,               0.002377
                     80,                0.15024,                0.88132,                0.91398,                0.45031,                0.50384,                0.40904,                 0.4066,                0.07241,                  0.895,                0.68559,               0.002278,               0.002278,               0.002278
                     81,                0.14869,                0.87414,                0.91292,                0.45281,                0.50399,                  0.409,                0.40655,                0.07233,                0.89611,                0.68541,               0.002179,               0.002179,               0.002179
                     82,                0.14971,                 0.8648,                0.91438,                0.45782,                0.49848,                0.41172,                0.40928,                0.07225,                0.89737,                0.68524,                0.00208,                0.00208,                0.00208
                     83,                0.14784,                0.85692,                0.91349,                0.46114,                0.49902,                0.41263,                 0.4102,                0.07219,                0.89846,                0.68513,               0.001981,               0.001981,               0.001981
                     84,                0.14713,                0.84756,                0.91406,                 0.4623,                0.49813,                0.41342,                0.41102,                0.07221,                0.89995,                0.68509,               0.001882,               0.001882,               0.001882
                     85,                0.14654,                0.84109,                0.91247,                0.45978,                0.49734,                0.41405,                0.41166,                0.07231,                0.90157,                0.68501,               0.001783,               0.001783,               0.001783
                     86,                0.14529,                 0.8328,                0.91134,                 0.4618,                0.49935,                0.41199,                0.40957,                0.07242,                0.90365,                0.68491,               0.001684,               0.001684,               0.001684
                     87,                 0.1449,                0.82473,                0.91122,                0.46061,                0.50322,                0.41228,                0.40991,                0.07238,                 0.9062,                0.68485,               0.001585,               0.001585,               0.001585
                     88,                0.14351,                0.81395,                0.91129,                0.46541,                0.49226,                0.41217,                 0.4098,                0.07234,                0.90857,                0.68475,               0.001486,               0.001486,               0.001486
                     89,                0.14256,                0.80684,                0.91111,                0.45976,                0.50157,                0.41239,                0.41011,                0.07236,                0.91216,                0.68461,               0.001387,               0.001387,               0.001387
                     90,                0.14149,                0.79493,                0.91092,                0.46084,                0.50249,                0.41047,                 0.4082,                0.07245,                0.91498,                0.68457,               0.001288,               0.001288,               0.001288
                     91,                0.06274,                0.59818,                0.84187,                0.45827,                0.50241,                0.41007,                0.40778,                0.07244,                0.91897,                0.68434,               0.001189,               0.001189,               0.001189
                     92,                 0.0615,                0.55666,                0.84047,                0.44917,                0.52065,                0.41021,                0.40794,                0.07247,                0.92361,                0.68423,                0.00109,                0.00109,                0.00109
                     93,                0.06081,                0.52718,                0.84011,                0.44951,                0.52327,                0.40874,                 0.4065,                0.07251,                0.92889,                0.68411,               0.000991,               0.000991,               0.000991
                     94,                0.06044,                0.50119,                0.84018,                0.44966,                0.52352,                0.40853,                0.40625,                0.07257,                0.93516,                0.68405,               0.000892,               0.000892,               0.000892
                     95,                0.05927,                0.47063,                0.83853,                0.44883,                0.52625,                0.40781,                0.40559,                0.07265,                0.94289,                0.68406,               0.000793,               0.000793,               0.000793
                     96,                  0.059,                0.45262,                0.83864,                0.45333,                  0.517,                0.40708,                0.40492,                0.07292,                0.95096,                 0.6842,               0.000694,               0.000694,               0.000694
                     97,                0.05798,                0.42358,                0.83735,                0.45111,                0.51617,                0.40566,                 0.4035,                0.07295,                0.96069,                0.68408,               0.000595,               0.000595,               0.000595
                     98,                0.05759,                0.39712,                 0.8374,                0.45301,                0.51104,                0.40393,                0.40181,                0.07296,                0.97119,                0.68394,               0.000496,               0.000496,               0.000496
                     99,                0.05704,                0.37233,                0.83762,                0.45599,                0.50373,                0.40234,                0.40019,                0.07304,                0.98391,                0.68391,               0.000397,               0.000397,               0.000397
                    100,                    inf,                0.35154,                0.83659,                0.45957,                0.49373,                0.40097,                0.39889,                0.07305,                0.99852,                0.68388,               0.000298,               0.000298,               0.000298
